name,has_test,address,created_at,alternate_url,employer,accept_temporary,professional_roles,experience,employment,salary_from,salary_to,requirement,responsibility
Стажер-разработчик программного обеспечения,False,Красноярск,2023-09-21 08:21,https://hh.ru/vacancy/85699126,Сибирские интеграционные системы,False,"Программист, разработчик",Нет опыта,Стажировка,41000,,"Знание следующих фреймворков: Angular, Spring Boot. Опыт работы с <highlighttext>PostgreSQL</highlighttext>. Знание классических алгоритмов машинного обучения и умение их применять. ",Изучение технологии и инструментов разработки программного обеспечения. Разработка нового и доработка существующего функционала программного обеспечения. Локализация и исправление ошибок в...
DevOps инженер (стажер),False,Казань,2023-09-06 14:55,https://hh.ru/vacancy/86337688,ГК Innostage,False,DevOps-инженер,Нет опыта,Стажировка,null,null,"Наличие фундаментальных знаний ОС и навыки системного администрирования (Linux, Windows). Навыки в скриптовании и автоматизации (достаточно иметь базовые знания и...","Innostage (Инностейдж) – это компания, оказывающая услуги в сфере кибербезопасности, разработки собственных продуктов в области защиты информации и бизнес-решений, заказной..."
Cтажер-разработчик Python/C# (Data Engineer),True,Москва,2023-09-13 11:43,https://hh.ru/vacancy/86551216,Mindbox,False,"Программист, разработчик",Нет опыта,Стажировка,35000,35000,"Базовое знание Python, а также статически типизированного языка с ООП (C#, С++, Java и др.), предпочтительно .NET/C#. ","Net6+ везде, многое в k8s. Монолит — не легаси, поддерживаем на актуальном стеке и активно развиваем, 30..."
Стажёр картограф-разметчик (Data Engineering / Big Data),False,Москва,2023-09-27 10:20,https://hh.ru/vacancy/87396117,SberAutoTech,False,Другое,Нет опыта,Стажировка,null,null,3-6 курс МИИГАиК / ГУЗ / географического факультета МГУ. Умение работать с векторной и атрибутивной информацией в ГИС (у нас - QGIS...,"Классы задач, которые необходимо будет выполнять: Поиск и устранение расхождений между HD-картой и лидарными растрами, проблем в геопривязке полос..."
Junior Python Developer / Data Engineer,False,Санкт-Петербург,2023-09-08 11:00,https://hh.ru/vacancy/86440903,Smart Design,False,"Программист, разработчик",Нет опыта,Стажировка,null,null,"Работа с SQL/NoSQL базами данных: Mongo, Postgresql, MySQL и т.д. Умение писать большие сложные SQL запросы и проектировать...","Принять участие в построении корпоративного <highlighttext>Data</highlighttext> Warehouse. Сбор, обработка и анализ большого количества данных. Разработка микросервисов / REST API. "
Стажер-инженер в МТС FIX (Big Data),False,null,2023-09-29 13:08,https://hh.ru/vacancy/86000921,МТС,False,Другое,Нет опыта,Стажировка,null,null,Уверенное знание SQL. Знание Python. Знание технического английского.,"Проектировать и разрабатывать решения интеграции данных, витрин и кубов финансовой и управленческой отчетности. Разрабатывать процедуры загрузки и трансформации данных с..."
Стажер data engineer,False,Санкт-Петербург,2023-09-18 10:12,https://hh.ru/vacancy/86839998,КРОК,False,"BI-аналитик, аналитик данных",Нет опыта,Стажировка,null,null,Образование высшее техническое или в процессе получения. Знание теоретических основ реляционных БД и языка SQL. Умение использовать хранимые процедуры. ,Разработка механизмов загрузки и обработки данных. Проектирование корпоративных хранилищ данных. Работа с big <highlighttext>data</highlighttext>.
Стажер Data Engineer,False,Москва,2023-09-27 15:04,https://hh.ru/vacancy/87420670,СБЕР,False,"Программист, разработчик",Нет опыта,Стажировка,null,null,"Высшее/незаконченное высшее образование, специализация: ИТ, математика, техническое образование. Хорошее знание SQL, написание сложных, длинных запросов\процедур. Желателен опыт работы...",Сейчас мы в поиске стажера на вакансию Стажер <highlighttext>Data</highlighttext> <highlighttext>Engineer</highlighttext> в команду управления моделированием и исследованием данных. Задачи: Участие в...
Supply Chain Management Intern / Стажер отдела логистики,False,Москва,2023-09-06 14:12,https://hh.ru/vacancy/86334482,Procter & Gamble,False,Другое,Нет опыта,Стажировка,90000,,The job requires you to be based in Russia. Good command of English (Upper-Intermediate or higher level). ,Optimizing & automating logistics with a help of advanced <highlighttext>data</highlighttext> analytics tools. Redesigning product initiatives launch for the Eastern Europe market. 
